Time,Signal
8.16,348
10.82,354
13.51,354
16.21,348
18.91,340
21.59,338
24.28,340
26.98,341
29.66,342
32.36,333
35.06,325
37.74,321
40.44,318
43.14,321
45.83,322
48.53,316
51.22,312
53.92,311
56.62,318
59.31,324
62.02,323
64.71,318
67.41,315
70.11,309
72.81,314
75.5,317
78.2,323
80.9,318
83.59,312
86.3,313
88.99,314
91.69,319
94.38,322
97.08,325
99.78,316
102.47,313
105.22,317
107.96,320
110.71,322
113.46,313
116.22,296
118.97,280
121.71,268
124.46,270
127.22,280
129.97,294
132.72,311
135.47,343
138.22,405
140.96,494
143.71,602
146.46,650
149.21,647
151.97,643
154.7,599
157.45,506
160.2,405
162.95,317
165.7,259
168.45,230
171.2,229
173.94,243
176.7,260
179.45,276
182.19,286
184.94,301
187.7,308
190.45,321
193.19,324
195.94,321
198.69,314
201.43,306
204.18,305
206.92,312
209.67,319
212.42,317
215.18,314
217.93,313
220.68,311
223.43,318
226.18,323
228.94,327
231.69,319
234.43,315
237.19,317
239.94,319
242.7,329
245.45,328
248.2,325
250.94,321
253.69,320
256.43,322
259.19,327
261.94,328
264.7,327
267.46,319
270.21,317
272.97,324
275.72,328
278.47,333
281.22,328
283.98,321
286.74,322
289.49,322
292.24,332
294.98,334
297.74,331
300.5,327
303.26,321
306.01,326
308.76,329
311.52,333
314.27,334
317.03,326
319.78,322
322.54,324
325.28,332
328.03,336
330.78,331
333.53,327
336.29,321
339.02,325
341.77,337
344.53,336
347.29,336
350.04,330
352.79,327
355.54,328
358.3,337
361.06,338
363.81,338
366.56,333
369.32,331
372.08,334
374.82,341
377.58,347
380.33,349
383.08,340
385.82,336
388.58,340
391.34,343
394.09,348
396.84,343
399.59,336
402.34,334
405.1,332
407.86,333
410.61,340
413.36,337
416.12,328
418.87,321
421.62,321
424.37,327
427.13,332
429.88,325
432.63,317
435.39,315
438.14,312
440.9,320
443.66,323
446.41,321
449.17,317
451.93,309
454.68,311
457.43,317
460.19,325
462.94,320
465.69,317
468.44,309
471.2,311
473.95,315
476.71,320
479.47,318
482.22,314
484.98,306
487.74,311
490.49,312
493.25,320
496.01,320
498.75,312
501.5,308
504.26,306
507.02,311
509.76,318
512.52,317
515.28,315
518.03,308
520.78,307
523.54,309
526.29,313
529.05,313
531.8,311
534.55,303
537.3,302
540.06,308
542.8,307
545.55,312
548.31,307
551.07,300
553.82,303
556.58,303
559.33,312
562.08,310
564.83,305
567.59,304
570.34,299
573.09,305
575.84,312
578.59,313
581.34,309
584.1,306
586.86,304
589.61,306
592.37,312
595.13,314
597.88,310
600.63,306
603.39,302
606.14,303
608.9,312
611.66,310
614.41,311
617.16,303
619.92,300
622.66,305
625.42,311
628.18,310
630.94,306
633.69,304
636.44,298
639.2,304
641.95,313
644.7,316
647.46,310
650.21,304
652.97,303
655.73,302
658.48,309
661.23,313
663.98,307
666.74,303
669.49,304
672.24,304
675,313
677.74,317
680.5,312
683.26,303
686.01,301
688.76,305
691.52,313
694.28,317
697.03,317
699.78,314
702.54,313
705.29,319
708.05,324
710.8,328
713.55,326
716.31,318
719.07,318
721.82,321
724.57,330
727.33,339
730.08,338
732.83,337
735.59,331
738.34,331
741.1,334
743.86,338
746.61,334
749.36,330
752.12,316
754.88,312
757.63,314
760.39,319
763.15,317
765.9,308
768.66,306
771.42,305
774.17,312
776.92,320
779.67,320
782.41,312
785.16,309
787.92,309
790.68,314
793.43,320
796.19,316
798.95,309
801.7,305
804.46,307
807.21,315
809.96,320
812.7,320
815.46,320
818.21,312
820.96,310
823.71,316
826.46,323
829.21,327
831.97,314
834.73,298
837.48,284
840.23,282
842.99,285
845.74,292
848.5,300
851.26,316
854.01,345
856.76,400
859.51,473
862.26,570
865.02,645
867.76,649
870.52,636
873.27,563
876.03,476
878.78,389
881.54,320
884.29,272
887.05,245
889.79,240
892.54,248
895.3,257
898.06,259
900.8,264
903.55,279
906.3,301
909.06,324
911.81,332
914.57,327
917.32,319
920.08,312
922.83,321
925.58,329
928.34,332
931.1,326
933.85,320
936.6,316
939.36,320
942.11,331
944.86,337
947.62,336
950.38,331
953.13,325
955.89,332
958.64,343
961.39,346
964.14,344
966.9,334
969.66,335
972.42,339
975.18,346
977.93,352
980.68,346
983.43,339
986.18,335
988.93,338
991.69,347
994.44,351
997.19,348
999.95,344
1002.71,343
1005.5,343
1008.3,354
1011.1,360
1013.9,354
1016.7,351
1019.5,346
1022.3,351
1025.1,355
1027.89,358
1030.69,359
1033.49,350
1036.28,349
1039.08,352
1041.87,360
1044.67,368
1047.46,362
1050.26,355
1053.06,354
1055.85,357
1058.64,364
1061.44,370
1064.24,365
1067.03,356
1069.82,358
1072.62,365
1075.42,372
1078.22,378
1081.02,371
1083.81,365
1086.61,361
1089.4,366
1092.2,377
1095,379
1097.78,377
1100.58,367
1103.38,367
1106.18,373
1108.97,377
1111.76,382
1114.55,377
1117.35,366
1120.14,360
1122.94,362
1125.74,366
1128.53,367
1131.32,361
1134.12,350
1136.92,350
1139.72,351
1142.51,357
1145.31,357
1148.11,351
1150.91,344
1153.71,345
1156.51,344
1159.31,350
1162.11,353
1164.91,345
1167.71,340
1170.5,340
1173.29,345
1176.09,350
1178.88,350
1181.67,348
1184.46,336
1187.26,336
1190.06,344
1192.85,355
1195.65,358
1198.45,351
1201.23,341
1204.02,341
1206.82,344
1209.62,353
1212.41,356
1215.21,349
1218.01,342
1220.8,343
1223.59,347
1226.39,356
1229.19,356
1231.99,352
1234.78,344
1237.58,344
1240.38,349
1243.18,357
1245.97,357
1248.77,350
1251.57,347
1254.36,345
1257.16,351
1259.95,360
1262.75,359
1265.54,348
1268.34,342
1271.14,344
1273.93,352
1276.72,356
1279.52,357
1282.32,349
1285.11,344
1287.91,346
1290.71,353
1293.51,364
1296.3,361
1299.1,354
1301.9,347
1304.7,349
1307.5,359
1310.3,363
1313.1,365
1315.89,359
1318.68,355
1321.48,354
1324.28,359
1327.07,365
1329.86,360
1332.66,355
1335.46,349
1338.26,349
1341.06,359
1343.85,367
1346.63,366
1349.42,360
1352.22,354
1355.02,358
1357.82,369
1360.62,378
1363.42,373
1366.22,368
1369.01,358
1371.8,357
1374.6,368
1377.4,376
1380.19,377
1382.99,372
1385.79,370
1388.58,372
1391.38,379
1394.18,380
1396.98,375
1399.77,367
1402.57,362
1405.37,362
1408.17,368
1410.96,368
1413.76,361
1416.56,349
1419.34,346
1422.14,345
1424.94,356
1427.74,357
1430.53,355
1433.33,345
1436.13,342
1438.93,344
1441.72,352
1444.52,355
1447.32,349
1450.12,340
1452.92,338
1455.72,340
1458.52,346
1461.31,350
1464.11,344
1466.91,334
1469.71,334
1472.5,336
1475.3,347
1478.1,350
1480.9,347
1483.7,338
1486.5,334
1489.3,333
1492.1,328
1494.89,316
1497.69,302
1500.49,295
1503.28,306
1506.07,336
1508.86,368
1511.66,411
1514.46,458
1517.26,525
1520.05,610
1522.84,651
1525.63,648
1528.43,604
1531.23,513
1534.02,411
1536.81,340
1539.61,292
1542.41,274
1545.2,266
1547.99,258
1550.79,255
1553.59,259
1556.38,277
1559.18,299
1561.98,319
1564.78,332
1567.57,331
1570.37,333
1573.17,341
1575.96,344
1578.75,344
1581.55,337
1584.35,329
1587.14,330
1589.94,340
1592.74,346
1595.54,349
1598.34,344
1601.14,338
1603.94,340
1606.72,342
1609.51,353
1612.31,353
1615.11,347
1617.91,340
1620.71,338
1623.51,342
1626.31,352
1629.11,351
1631.91,349
1634.71,339
1637.51,339
1640.3,344
1643.1,351
1645.9,354
1648.7,344
1651.49,340
1654.29,339
1657.09,344
1659.87,351
1662.67,351
1665.46,349
1668.26,340
1671.06,341
1673.85,349
1676.65,353
1679.43,354
1682.22,346
1685.02,343
1687.82,341
1690.61,350
1693.4,355
1696.2,355
1699,347
1701.78,339
1704.58,339
1707.38,349
1710.17,353
1712.96,353
1715.76,348
1718.56,340
1721.35,340
1724.14,350
1726.94,352
1729.74,353
1732.54,343
1735.34,338
1738.14,339
1740.94,351
1743.73,357
1746.53,352
1749.33,345
1752.13,339
1754.92,341
1757.72,348
1760.52,351
1763.31,348
1766.1,338
1768.9,329
1771.7,332
1774.5,334
1777.3,333
1780.1,328
1782.89,318
1785.68,311
1788.48,312
1791.28,322
1794.07,321
1796.86,317
